year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2008,2663.27983,2,1,2,1,5,1,2,0,2,3,3,2,2,0,1,4,2,0,0,2,2
2008,3234.3629,2,1,2,1,2,1,7,0,2,2,1,2,2,0,1,1,1,0,0,2,1
2008,3234.3629,2,1,2,1,2,1,7,0,2,2,1,2,2,0,1,1,1,0,0,2,2
2008,3177.57271,2,1,2,1,6,2,7,1,3,2,3,2,2,0,1,4,2,0,0,2,4
2008,27108.20273,2,2,2,2,5,1,88,1,3,1,1,2,2,0,1,4,2,0,0,2,1
2008,2969.76289,2,1,2,1,6,3,4,0,1,3,2,1,2,0,1,4,2,1,1,2,1
2008,5531.94734,1,2,2,2,1,1,6,1,1,2,3,1,1,2,1,3,1,0,0,2,4
2008,3264.86415,1,1,2,1,6,1,5,1,1,2,3,2,2,0,1,4,2,0,0,2,3
2008,5899.16337,2,2,2,2,2,1,88,1,1,2,3,1,1,2,1,3,1,1,2,2,4
2008,3470.59055,1,2,2,2,6,1,2,5,3,1,4,1,1,2,1,3,1,1,1,2,3
2008,3735.4991,2,1,2,1,6,2,3,2,3,2,4,1,3,5,1,1,1,1,2,2,3
2008,3582.1529,1,1,2,1,7,2,5,2,3,1,3,2,2,0,1,4,2,0,0,2,3
2008,4905.36962,1,1,2,1,6,1,5,0,1,2,3,1,2,0,1,4,2,1,1,2,2
2008,24013.97586,2,1,2,1,5,2,6,1,3,2,4,2,2,0,1,1,1,1,1,2,1
2008,3420.84622,1,1,2,1,6,2,5,1,3,3,3,1,1,1,1,3,1,0,0,2,3
2008,3069.33559,1,1,2,1,6,4,4,0,3,3,3,2,2,0,1,4,2,0,0,2,3
2008,3877.86087,1,1,1,4,2,1,3,4,3,1,3,2,1,3,1,3,1,0,0,2,3
2008,5024.24614,1,1,2,1,5,1,4,1,4,2,5,1,1,1,1,3,1,0,0,2,1
2008,8547.46621,1,2,2,2,4,1,6,1,4,1,4,2,2,0,1,4,2,0,0,2,3
2008,8547.46621,1,2,2,2,4,1,6,1,4,1,4,2,2,0,1,4,2,0,0,2,3
2008,3434.94167,1,1,2,1,7,2,6,0,3,2,4,2,2,0,1,4,2,1,1,2,3
2008,33015.5925,2,1,2,1,4,4,88,3,3,1,1,1,3,5,1,4,2,0,0,1,3
2008,3836.93493,1,1,2,1,5,2,7,1,3,2,5,1,2,0,1,4,2,0,0,2,3
2008,3565.77366,1,3,2,3,7,2,5,4,3,1,3,1,1,2,1,3,1,0,0,2,3
2008,3421.59817,2,1,2,1,6,2,7,0,3,2,4,2,1,2,1,3,1,0,0,2,3
2008,3892.81858,1,1,2,1,1,1,7,1,3,2,3,2,1,3,1,3,1,0,0,2,1
2008,3461.97209,2,2,2,2,7,2,4,4,2,1,4,1,2,0,1,2,1,1,1,2,3
2008,4934.46411,2,1,2,1,2,1,7,1,3,2,1,2,2,0,1,1,1,1,1,2,2
2008,4960.63197,2,1,2,1,4,2,1,0,3,2,4,2,2,0,1,4,2,0,0,2,3
2008,3488.11224,1,1,2,1,6,2,7,0,1,2,4,2,3,5,1,4,2,0,0,2,3
2008,3234.67878,2,2,2,2,4,2,5,1,3,2,4,1,2,0,1,4,2,0,0,2,3
2008,3704.47894,1,1,2,1,1,1,6,1,3,3,3,2,1,2,1,3,1,0,0,2,4
2008,3704.47894,1,1,2,1,1,1,6,1,3,3,3,2,1,2,1,3,1,0,0,2,4
2008,4487.91434,2,1,2,1,1,1,88,2,2,1,3,1,2,0,1,1,1,0,0,2,1
2008,4847.59583,2,1,2,1,1,1,2,1,2,3,3,1,2,0,1,4,2,1,1,1,3
2008,3496.0564,2,1,2,1,7,1,88,1,2,3,3,2,2,0,1,4,2,0,0,2,5
2008,3496.0564,2,1,2,1,7,1,88,1,2,3,3,2,2,0,1,4,2,0,0,2,5
2008,5007.03961,1,1,2,1,6,4,88,1,3,3,3,1,2,0,1,4,2,0,0,,1
2008,3665.08362,1,2,2,2,7,4,1,4,2,1,5,2,3,5,1,2,1,0,0,2,3
2008,4012.12468,1,1,2,1,5,1,88,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2008,4012.12468,1,1,2,1,5,1,88,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2008,4012.12468,1,1,2,1,5,1,88,1,2,2,3,2,2,0,1,4,2,0,0,2,3
2008,2682.64068,2,2,2,2,6,1,88,3,2,1,3,1,1,1,1,3,1,0,0,2,3
2008,3929.80598,1,2,2,2,3,1,88,3,2,1,4,1,1,1,1,3,1,0,0,2,3
2008,3929.80598,1,2,2,2,3,1,88,3,2,1,4,1,1,1,1,2,1,1,1,2,3
2008,2196.97307,1,1,2,1,5,2,7,1,3,2,4,1,2,0,1,4,2,0,0,2,3
2008,2196.97307,1,1,2,1,5,2,7,1,3,2,4,1,2,0,1,4,2,0,0,2,3
2008,2620.31322,2,1,2,1,1,1,6,0,3,3,3,2,2,0,1,4,2,0,0,2,4
2008,2620.31322,2,1,2,1,1,1,6,0,3,3,4,2,2,0,1,4,2,0,0,2,4
2008,2167.69791,1,1,2,1,8,2,88,0,1,3,3,1,2,0,1,4,2,0,0,2,2
2008,2252.09353,1,1,2,1,2,1,3,1,2,3,3,1,2,0,1,2,1,0,0,2,1
2008,3750.40087,2,1,2,1,4,1,6,0,1,2,1,1,2,0,1,4,2,1,1,2,1
2008,2727.36181,2,2,2,2,6,1,88,1,1,1,4,1,2,0,1,4,2,0,0,2,1
2008,2486.25592,1,1,2,1,7,2,4,1,1,3,3,1,3,5,1,4,2,0,0,2,1
2008,7573.37695,2,3,2,3,3,1,88,3,4,1,1,2,2,0,1,4,2,1,1,2,1
2008,7573.37695,2,3,2,3,3,1,88,3,4,1,1,2,2,0,1,3,1,1,1,2,2
2008,4731.50293,1,2,1,4,4,1,6,1,4,2,4,2,2,0,1,4,2,1,1,2,3
2008,4352.35652,1,1,2,1,1,1,7,2,4,2,6,2,2,0,1,4,2,0,0,2,1
2008,4352.35652,1,1,2,1,1,1,7,2,4,2,6,2,2,0,1,4,2,0,0,2,1
2008,4352.35652,1,1,2,1,1,1,7,2,4,2,6,2,2,0,1,4,2,0,0,2,1
2008,4801.30137,1,3,2,3,5,2,5,3,4,1,4,1,2,0,1,4,2,0,0,2,5
2008,6385.36535,1,2,2,2,4,1,88,2,4,2,4,2,1,1,1,2,1,0,0,2,5
2008,6385.36535,1,2,2,2,4,1,88,2,4,2,4,2,2,0,1,4,2,0,0,2,3
2008,4007.90702,2,1,1,4,1,1,5,2,4,2,4,1,1,3,1,3,1,0,0,2,3
2008,4657.73648,1,3,2,3,2,1,2,2,4,1,3,2,2,0,1,4,2,1,1,2,3
